RED_IZO;IČO;Zřizovatel;Území;ORP;Plný název;Zkrácený název - NÁZEV ŠKOLY DO DATABÁZE (pro generování adresy na obálky);NÁZEV DO ROLOVACÍHO VÝBĚRU;ULICE + POPISNÉ ČÍSLO DO DATABÁZE;Ulice;č.p.;č.or.;č.obce;PSČ;Město + č.p. u malých obcí bez ulic - DO ADRESY;Město (SLOUPEC ZACHOVÁN KVŮLI VZORCŮM);Telefon;Fax;Email 1;Email 2;WWW;ID datové schránky;Ředitel;X;je OVM;
600024938; 44991665;5;CZ0642;6203;AKADEMIA Gymnázium, Základní škola a Mateřská škola, s.r.o.;AKADEMIA Gy, ZŠ a MŠ, s.r.o.;Brno – AKADEMIA Gy, ZŠ a MŠ, s.r.o.;Rašelinová 2433/11;Rašelinová;2433;11;Líšeň;62800;Brno;Brno;544 211 547;není;akademy@akademy.cz;;http://www.akademy.cz;y4k9b24;Mgr. Darja Chládková;A00B00C00G21K20L13;ANO;
600013405; 00532525;6;CZ0642;6203;Biskupské gymnázium Brno a mateřská škola;Biskupské gymnázium a mateřská škola;Brno – Biskupské gymnázium a mateřská škola;Barvičova 666/85;Barvičova;666;85;Stránice;60200;Brno;Brno;543 429 125;543 211 300;bigy@bigy.cz;;http://www.bigy.cz;;Mgr. Karel Mikula;A00C00L11;ANO;
600013740; 64329984;6;CZ0642;6203;Cyrilometodějské gymnázium a střední odborná škola pedagogická Brno;Cyrilomet.gymnázium a SOŠ pedagog. Brno;Brno – Cyrilomet.gymnázium a SOŠ pedagog. Brno;Lerchova 343/63;Lerchova;343;63;Stránice;60200;Brno;Brno;543 423 751;543 423 756;office@cmsps.cz;;http://www.cmsps.cz;;Mgr. MgA. et MgA. Štěpán Policer;C00G22;ANO;
600013758; 25314122;5;CZ0642;6203;EKO GYMNÁZIUM BRNO o.p.s.;EKO GYMNÁZIUM o.p.s.;Brno – EKO GYMNÁZIUM o.p.s.;Labská 269/27;Labská;269;27;Starý Lískovec;62500;Brno;Brno;547 219 976 ,511191900;není;eko@eko-g.cz;handlir@eko-g.cz;http://www.eko-g.cz;;RNDr. Petr Handlíř;C00;ANO;
600013863; 60555211;7;CZ0642;6203;Gymnázium Brno-Bystrc, příspěvková organizace;Gymnázium Brno-Bystrc;Brno – Gymnázium Brno-Bystrc;Vejrostova 1143/2;Vejrostova;1143;2;Bystrc;63500;Brno;Brno;533 555 100;není;sekretariat@gyby.cz;info@gyby.cz;http://www.gyby.cz;;Mgr. Petr Šurek;C00L11;ANO;
600013413; 48513512;7;CZ0642;6203;Gymnázium Brno-Řečkovice, příspěvková organizace;Gymnázium Brno-Řečkovice;Brno – Gymnázium Brno-Řečkovice;Terezy Novákové 936/2;Terezy Novákové;936;2;Řečkovice;62100;Brno;Brno;541 225 411;541 226 132;skola@gyrec.cz;gabrielova@gyrec.cz;www.gyrec.cz;92n2zyr;RNDr. Peter Krupka, Ph.D.;C00L11;ANO;
600013421; 00558974;7;CZ0642;6203;Gymnázium Brno, Elgartova, příspěvková organizace;Gymnázium;Brno – Gymnázium Elgartova;Elgartova 689/3;Elgartova;689;3;Husovice;61400;Brno;Brno;545 321 222;není;office@gymelg.cz;psperkova@gymelg.cz;www.gymelg.cz;kihxguj;Mgr. Petra Šperková;C00L13;ANO;
600013537; 25330365;5;CZ0642;6203;Gymnázium Globe, s.r.o.;Gymnázium Globe, s.r.o.;Brno – Gymnázium Globe, s.r.o.;Bzenecká 4226/23;Bzenecká;4226;23;Židenice;62800;Brno;Brno;544 218 778;544 218 778;gymglobe@gymglobe.cz;;http://www.gymglobe.cz;fh29b2e;RNDr. Libuše Bartková;C00G22;ANO;
600013961; 25327747;5;CZ0642;6203;Gymnázium J. G. Mendela a jeho zařízení a Základní umělecká škola, školská právnická osoba;Gymnázium J.G.Mendela a jeho zař. a ZUŠ;Brno – Gymnázium J.G.Mendela a jeho zař. a ZUŠ;Mendlovo náměstí 1/3;Mendlovo náměstí;1;3;Staré Brno;61600;Brno;Brno;543 211 790 ,541214465;543 216 136;reditelstvi@skolskykomplex.cz;studijni@skolskykomplex.cz;http://www.skolskykomplex.cz;3373epg;Ing. Ivo Procházka;C00F10G22K10L11;ANO;
600013464; 00558991;7;CZ0642;6203;Gymnázium Brno, Křenová, příspěvková organizace;Gymnázium;Brno – Gymnázium Křenová;Křenová 304/36;Křenová;304;36;Trnitá;60200;Brno;Brno;543 211 598;543 321 352;marek@gymkren.cz;gymnazium@gymkren.cz;;qxixkmw;Mgr. Miroslav Marek;C00L13;ANO;
600013626; 00559008;7;CZ0642;6203;Gymnázium Matyáše Lercha, Brno, Žižkova 55, příspěvková organizace;Gymnázium Matyáše Lercha;Brno – Gymnázium Matyáše Lercha;Žižkova 980/55;Žižkova;980;55;Veveří;61600;Brno;Brno;549 122 063;549 122 010;sekretariat@gml.cz;;www.gml.cz;vke4wci;Petr Kovač;C00L11;ANO;
600013693; 26258510;5;CZ0642;6203;Gymnázium Mojmírovo náměstí s.r.o.;Gymnázium Mojmírovo náměstí s.r.o.;Brno – Gymnázium Mojmírovo náměstí s.r.o.;Mojmírovo náměstí 67/10;Mojmírovo náměstí;67;10;Královo Pole;61200;Brno;Brno;539 051 201;;info@mojmirak.cz;;www.mojmirak.cz;qbb9b28;Mgr. Petr Holeček;C00;ANO;
600013651; 25332201;5;CZ0642;6203;Gymnázium P. Křížkovského s uměleckou profilací, s.r.o.;Gymnázium P.Křížk. s uměl.profil.,s.r.o.;Brno – Gymnázium P.Křížk. s uměl.profil.,s.r.o.;Kristenova 58/27;Kristenova;58;27;Komín;62400;Brno;Brno;541 224 508;není;gymum@gymum.cz;;http://www.gymum.cz;39q9b3h;RNDr. Jiří Dittrich;C00L13;ANO;
600013472; 00559016;7;CZ0642;6203;Gymnázium Brno, Slovanské náměstí, příspěvková organizace;Gymnázium;Brno – Gymnázium Slovanské náměstí;Slovanské náměstí 1804/7;Slovanské náměstí;1804;7;Královo Pole;61200;Brno;Brno;549 257 709;549 257 709;red@gymnaslo.cz;;http://www.gymnaslo.cz;c2kyd3a;Mgr. Dalibor Kott;C00L13;ANO;
600013481; 00559032;7;CZ0642;6203;Gymnázium Brno, třída Kapitána Jaroše, příspěvková organizace;Gymnázium;Brno – Gymnázium třída Kpt. Jaroše;třída Kpt. Jaroše 1829/14;třída Kpt. Jaroše;1829;14;Černá Pole;65870;Brno;Brno;545 577 371;není;jaroska@jaroska.cz;;www.jaroska.cz;itwx7p9;RNDr. Jiří Herman, Ph.D;C00L13;ANO;
600013448; 00558982;7;CZ0642;6203;Gymnázium Brno, Vídeňská, příspěvková organizace;Gymnázium;Brno – Gymnázium Vídeňská;Vídeňská 55/47;Vídeňská;55;47;Štýřice;63900;Brno;Brno;543 421 751;543 421 752;vedeni@gvid.cz;;www.gvid.cz;jzgxkrr;Mgr. David Andrle;C00L13;ANO;
600013898; 25546210;5;CZ0642;6203;I. Německé zemské gymnasium, základní škola a mateřská škola, o.p.s.;I. Něm. zem. gymnasium, ZŠ a MŠ, o.p.s.;Brno – I. Něm. zem. gymnasium, ZŠ a MŠ, o.p.s.;Mendlovo náměstí 1/4;Mendlovo náměstí;1;4;Staré Brno;60300;Brno;Brno;541 214 465 ,543211790;541 219 995;reditelstvi@skolskykomplex.cz;studijni@skolskykomplex.cz;http://www.skolskykomplex.cz;;Mgr. Vladimíra Dolenská;A00B00C00G21G22;ANO;
600013677; 63489970;5;CZ0642;6203;Moravské gymnázium Brno s.r.o.;Moravské gymnázium Brno s.r.o.;Brno – Moravské gymnázium Brno s.r.o.;Veveří 472/30;Veveří;472;30;Veveří;60200;Brno;Brno;541 214 125 -6;není;sekretariat@mgbrno.cz;;http://www.mgbrno.cz/;8nbnn6n;RNDr. Miroslav Štefan;C00;ANO;
600013634; 00567582;7;CZ0642;6203;Sportovní gymnázium Ludvíka Daňka, Brno, Botanická 70, příspěvková organizace;Sportovní gymnázium Ludvíka Daňka;Brno – Sportovní gymnázium Ludvíka Daňka;Botanická 63/70;Botanická;63;70;Ponava;60200;Brno;Brno;541 212 176;541 240 386;reditel@sgldbrno.cz;kancelar@sgldbrno.cz;http://www.sgldbrno.cz;d4jygk2;Mgr. Radek Klimeš;C00H22L11;ANO;
600013669; 25326228;5;CZ0642;6203;Střední odborná škola EDUCAnet Brno, o.p.s.;Střední odborná škola EDUCAnet Brno;Brno – Střední odborná škola EDUCAnet Brno;Arménská 573/21;Arménská;573;21;Bohunice;62500;Brno;Brno;547 212 100;547 212 100;robert.bednar@educanet.cz;brno@educanet.cz;http://www.educanet.cz;;Mgr. et Bc. Robert Bednář;C00;ANO;
600012107; 48623679;7;CZ0523;5201;Gymnázium, Broumov, Hradební 218;Gymnázium;Broumov – Gymnázium Hradební;Hradební 218;Hradební;218;;Broumov;55001;Broumov;Broumov;491 521 276;491 423 253;info@gybroumov.cz;;http://www.gybroumov.cz;;Mgr. Jiří Ringel;C00;ANO;
600016064; 00601357;7;CZ0801;8103;Všeobecné a sportovní gymnázium, Bruntál, příspěvková organizace;Všeobecné a sportovní gymnázium;Bruntál – Všeobecné a sportovní gymnázium;Dukelská 1423/1;Dukelská;1423;1;Bruntál;79201;Bruntál;Bruntál;595 535 082;;reditel@gymbru.cz;tomas.pavelka@gymbru.cz;www.gymbru.cz;;Mgr. Tomáš Pavelka;C00;ANO;
600014258; 60680351;7;CZ0644;6204;Gymnázium a Jazyková škola s právem státní jazykové zkoušky Břeclav, příspěvková organizace;Gymnázium a JŠ s právem st. j. zk.;Břeclav – Gymnázium a JŠ s právem st. j. zk.;Sady 28. října 674/1;Sady 28. října;674;1;Břeclav;69021;Břeclav;Břeclav;519 326 162;519 326 362;info@gbv.cz;;http://www.gbv.cz;grr2pdj;Mgr. Eva Krutáková;C00F20;ANO;
600014282; 25344056;5;CZ0644;6204;Soukromá střední odborná škola Břeclav, s.r.o., zkráceně SSOŠ Břeclav, s.r.o.;Soukromá SOŠ Břeclav, s.r.o.;Břeclav – Soukromá SOŠ Břeclav, s.r.o.;Mládežnická 3330/3;Mládežnická;3330;3;Břeclav;69002;Břeclav;Břeclav;519 321 866;519 321 866;sekretariat@ssos-bv.com;rampula@ssos-bv.com;http://www.ssos-bv.com;;Mgr. Jitka Konečná;C00;ANO;
600015637; 00559261;7;CZ0646;6205;Gymnázium a obchodní akademie Bučovice, příspěvková organizace;Gymnázium a obchodní akademie;Bučovice – Gymnázium a obchodní akademie;Součkova 500;Součkova;500;;Bučovice;68501;Bučovice;Bučovice;517 383 119;není;gymbuc@gymbuc.cz;;http://www.gymbuc.cz;;RNDr. Jaroslav Honza, CSc.;C00L11;ANO;
600016005; 48895466;7;CZ0635;6101;Gymnázium Bystřice nad Pernštejnem;Gymnázium Bystřice nad Pernštejnem;Bystřice nad Pernštejnem – Gymnázium Bystřice nad Pernštejnem;Nádražní 760;Nádražní;760;;Bystřice nad Pernštejnem;59301;Bystřice nad Pernštejnem;Bystřice nad Pernštejnem;566 552 920;566 552 310;reditel@gybnp.cz;sekretarka@gybnp.cz;www.gybnp.cz;ervnrrg;PaedDr. Milan Hanák;C00L13;ANO;
600007243; 61924041;7;CZ0205;2104;Gymnázium a Střední odborná škola pedagogická, Čáslav, Masarykova 248;Gymnázium a SOŠ pedagogická;Čáslav – Gymnázium a SOŠ pedagogická;Masarykova 248/24;Masarykova;248;24;Čáslav-Nové Město;28601;Čáslav;Čáslav;327 340 051;327 312 975;reditel@gymcaslav.cz;ryparova@gymcaslav.cz;http://www.gymcaslav.cz;h8ixkwy;Mgr. David Tichý;C00;ANO;
600007693; 43755054;7;CZ0209;2103;Gymnázium, Čelákovice, J. A. Komenského 414;Gymnázium;Čelákovice – Gymnázium J. A. Komenského;J. A. Komenského 414/7;J. A. Komenského;414;7;Čelákovice;25088;Čelákovice;Čelákovice;326 929 011;;barbara.holubcova@gcelakovice.cz;info@gcelakovice.cz;www.gcelakovice.cz;;Mgr. Barbara Holubcová;C00;ANO;
600076431; 47274735;2;CZ0421;4202;Základní škola T. G. Masaryka a gymnázium Česká Kamenice;ZŠ T. G. Masaryka a gymnázium;Česká Kamenice – ZŠ T. G. Masaryka a gymnázium;Palackého 535;Palackého;535;;Česká Kamenice;40721;Česká Kamenice;Česká Kamenice;412 584 468;412 582 214;skola@zs-gymnazium.cz;;www.zs-gymnazium.cz;5udnvrw;Mgr. Daniel Preisler;B00C00;ANO;
600009998; 62237004;7;CZ0511;5101;Gymnázium, Česká Lípa, Žitavská 2969, příspěvková organizace;Gymnázium, příspěvková organizace;Česká Lípa – Gymnázium, příspěvková organizace;Žitavská 2969;Žitavská;2969;;Česká Lípa;47006;Česká Lípa;Česká Lípa;487 829 101;487 829 152;gym-cl@gym-cl.cz;info@gym-cl.cz;www.gym-cl.cz;pfgkkf5;Mgr. Helena Paszeková;C00L13;ANO;
600013022; 49314670;7;CZ0534;5301;Gymnázium, Česká Třebová, Tyršovo náměstí 970;Gymnázium;Česká Třebová – Gymnázium Tyršovo náměstí;Tyršovo náměstí 970;Tyršovo náměstí;970;;Česká Třebová;56002;Česká Třebová;Česká Třebová;465 519 500;465 519 502;skola@gymnct.cz;josef.mensik@gymnct.cz;http://www.gymnct.cz;utwwix5;Mgr. Josef Menšík;C00;ANO;
600008088; 00666122;6;CZ0311;3102;Biskupské gymnázium J. N. Neumanna a Církevní základní škola;Biskup. gymn. J.N.Neumanna a Církevní ZŠ;České Budějovice – Biskup. gymn. J.N.Neumanna a Církevní ZŠ;Jirsíkova 420/5;Jirsíkova;420;5;České Budějovice 1;37001;České Budějovice;České Budějovice;386 359 067;není;reditelstvi@bigy-cb.cz;czs@bigy-cb.cz;http://www.bigy-cb.cz;;Ing. Martin Maršík, Ph.D.;B00C00G11G21G22H22L11;ANO;
600008100; 49060317;5;CZ0311;3102;České reálné gymnázium s.r.o.;České reálné gymnázium s.r.o.;České Budějovice – České reálné gymnázium s.r.o.;Pražská tř. 2532/54A;Pražská tř.;2532;54A;České Budějovice 3;37004;České Budějovice;České Budějovice;387 423 122;387 423 122;crg@crg.cz;bohunek@crg.cz;http://www.crg.cz;p5nxihr;RNDr. Alois Bohůnek;C00;ANO;
600008096; 63908352;5;CZ0311;3102;Česko-anglické gymnázium s.r.o.;Česko-anglické gymnázium s.r.o.;České Budějovice – Česko-anglické gymnázium s.r.o.;Třebízského 1010/9;Třebízského;1010;9;České Budějovice 5;37006;České Budějovice;České Budějovice;380 425 132;380 425 134;cag@cag.cz;dlhotkova@cag.cz;http://www.cag.cz;fmqxix3;RNDr. Danuše Lhotková;C00;ANO;
600008266; 25158392;5;CZ0311;3102;EDUCAnet - střední škola a základní škola České Budějovice, s.r.o.;EDUCAnet - SŠ a ZŠ ČB, s.r.o.;České Budějovice – EDUCAnet - SŠ a ZŠ ČB, s.r.o.;Lannova tř. 1595/29a;Lannova tř.;1595;29a;České Budějovice 6;37001;České Budějovice;České Budějovice;774 073 318;;ceskebudejovice@educanet.cz;frantisek.soltes@educanet.cz;http://www.ceskebudejovice.educanet.cz;ufz23ad;Mgr. František Šoltés;B00C00F29;ANO;
600008151; 60075775;7;CZ0311;3102;Gymnázium, České Budějovice, Česká 64;Gymnázium;České Budějovice – Gymnázium Česká;Česká 142/64;Česká;142;64;České Budějovice 1;37001;České Budějovice;České Budějovice;386 356 884;386 356 085;gc@gymceska.cz;;http://www.gymceska.cz;n3kevuz;Mgr. Antonín Sekyrka;C00;ANO;
600007995; 60076135;7;CZ0311;3102;Gymnázium J. V. Jirsíka, České Budějovice, Fráni Šrámka 23;Gymnázium J. V. Jirsíka;České Budějovice – Gymnázium J. V. Jirsíka;Fráni Šrámka 1193/23;Fráni Šrámka;1193;23;České Budějovice 3;37001;České Budějovice;České Budějovice;387 422 640;387 422 315;pustina@gjvj.cz;sokol@gjvj.cz;http://www.gjvj.cz;ygjxrcz;RNDr. Jaroslav Pustina;C00;ANO;
600008002; 60076101;7;CZ0311;3102;Gymnázium, České Budějovice, Jírovcova 8;Gymnázium;České Budějovice – Gymnázium Jírovcova;Jírovcova 1788/8;Jírovcova;1788;8;České Budějovice 3;37001;České Budějovice;České Budějovice;387 319 358;387 319 358;gymji@gymji.cz;;http://www.gymji.cz;gikkjyy;Mgr. Pavel Kavřík;C00;ANO;
600008118; 25184181;5;CZ0311;3102;Střední škola informatiky a právních studií, o.p.s.;SŠ informatiky a právních studií, o.p.s.;České Budějovice – SŠ informatiky a právních studií, o.p.s.;Žižkova tř. 250/4;Žižkova tř.;250;4;České Budějovice 6;37001;České Budějovice;České Budějovice;386 360 759 ,607708058;386 116 829;stredniskola@stredniskola.cz;cikanova@stredniskola.cz;www.stredniskola.cz;;Mgr. Kateřina Cikánová;C00;ANO;
600007120; 48665967;7;CZ0204;2106;Gymnázium, Český Brod, Vítězná 616;Gymnázium;Český Brod – Gymnázium Vítězná;Vítězná 616;Vítězná;616;;Český Brod;28201;Český Brod;Český Brod;321 622 347;321 622 347;gc_brod@iol.cz;info@gcbrod.cz;http://www.gcbrod.cz;nanw85k;Mgr. Ivo Kocum;C00;ANO;
600008231; 00583839;7;CZ0312;3103;Gymnázium, Český Krumlov, Chvalšinská 112;Gymnázium;Český Krumlov – Gymnázium Chvalšinská;Chvalšinská 112;Chvalšinská;112;;Latrán;38101;Český Krumlov;Český Krumlov;380 711 709;380 711 709;info@gymck.cz;;www.gymck.cz;;PaedDr. Hana Bůžková;C00H22L13;ANO;
600016463; 62331639;7;CZ0803;8104;Gymnázium Josefa Božka, Český Těšín, příspěvková organizace;Gymnázium Josefa Božka;Český Těšín – Gymnázium Josefa Božka;Frýdecká 689/30;Frýdecká;689;30;Český Těšín;73701;Český Těšín;Český Těšín;558 746 431;558 746 431;sekretariat@gmct.cz;;www.gmct.cz;tyhfxin;RNDr. Tomáš Hudec;C00L11;ANO;
600016501; 62331493;7;CZ0803;8104;Polské gymnázium - Polskie Gimnazjum im. Juliusza Słowackiego, Český Těšín, příspěvková organizace;Polské gymnázium - Polskie Gimnazjum;Český Těšín – Polské gymnázium - Polskie Gimnazjum;Havlíčkova 213/13;Havlíčkova;213;13;Český Těšín;73701;Český Těšín;Český Těšín;558 731 235;558 713 326;info@gympol.cz;a.bizon@gympol.cz;http://www.gympol.cz;;Ing. Marie Jarnotová, pověřena řízením;C00;ANO;
600008347; 60816929;7;CZ0313;3104;Gymnázium, Dačice, Boženy Němcové 213;Gymnázium;Dačice – Gymnázium B. Němcové;B. Němcové 213;B. Němcové;213;;Dačice V;38001;Dačice;Dačice;384 420 432;384 420 432;reditel@gymn-dacice.cz;;http://www.gymn-dacice.cz;inikq2f;Mgr. Milan Točík;C00;ANO;
600010198; 47274620;7;CZ0421;4202;Gymnázium Děčín, příspěvková organizace;Gymnázium;Děčín – Gymnázium Komenského nám.;Komenského nám. 340/4;Komenského nám.;340;4;Děčín I-Děčín;40502;Děčín;Děčín;412 704 131;412 704 134;info@gymnaziumdc.cz;;http://www.gymnaziumdc.cz;53duhrf;Mgr. Lenka Holubcová;C00;ANO;
600012549; 60884762;7;CZ0524;5202;Gymnázium, Dobruška, Pulická 779;Gymnázium;Dobruška – Gymnázium Pulická;Pulická 779;Pulická;779;;Dobruška;51801;Dobruška;Dobruška;494 623 071;494 622 291;gymdka@gympldka.cz;"gymred@gympldka.cz; gymzast@gympldka.cz";http://www.gympldka.cz;cwkxike;Mgr. Lenka Hubáčková;C00L11;ANO;
600007812; 61100331;7;CZ020B;2107;Gymnázium Karla Čapka, Dobříš, Školní 1530;Gymnázium Karla Čapka;Dobříš – Gymnázium Karla Čapka;Školní 1530;Školní;1530;;Dobříš;26301;Dobříš;Dobříš;318 521 040;318 521 376;post@gymkc.cz;janat@gymkc.cz;www.gymkc.cz;u8c7xmj;Jiří Kastner, RNDr.;C00;ANO;
691001529; 71341137;5;CZ020A;2105;Střední škola, základní škola a mateřská škola da Vinci;SŠ, ZŠ a MŠ da Vinci;Dolní Břežany – SŠ, ZŠ a MŠ da Vinci;Na Drahách 20;Na Drahách;20;;Dolní Břežany;25241;Dolní Břežany;Dolní Břežany;226 299 700;není;info@skoladavinci.cz;jiri.bures@skoladavinci.cz;http://www.skoladavinci.cz;uk2msr8;PhDr. Jiří Bureš, Ph.D.;A00B00C00G21G22K10L11L13;ANO;
600008908; 48342912;7;CZ0321;3202;Gymnázium J.Š.Baara, Domažlice, Pivovarská 323;Gymnázium J.Š.Baara;Domažlice – Gymnázium J.Š.Baara;Pivovarská 323;Pivovarská;323;;Týnské Předměstí;34401;Domažlice;Domažlice;379 414 211;379 725 957;gjsb@gymdom.cz;stenglova@gymdom.cz;http://gymdom.cz;gwtgiqs;Mgr. Jana Štenglová;C00L11;ANO;
600011232; 25018248;5;CZ0426;4213;GYMNÁZIUM Jana Amose Komenského s.r.o.;GYMNÁZIUM J.A.Komenského s.r.o.;Dubí – GYMNÁZIUM J.A.Komenského s.r.o.;Bystřická 275/27;Bystřická;275;27;Bystřice;41703;Dubí;Dubí;417 530 732;417 530 732;gymdubi@volny.cz;turkova@gymdubi.cz;www.gymdubi.cz;9vv9b2y;Mgr. Jaroslava Turková;C00;ANO;
600011267; 61515477;7;CZ0426;4213;Gymnázium a Střední průmyslová škola, Duchcov, příspěvková organizace;Gymnázium a Střední průmyslová škola;Duchcov – Gymnázium a Střední průmyslová škola;Masarykova 909/12;Masarykova;909;12;Duchcov;41901;Duchcov;Duchcov;417 831 131;není;polakova@gspsd.cz;holikova@gspsd.cz;http://www.gspsd.cz;ugvtje5;Ing. Jana Poláková;C00;ANO;
600012867; 60153393;7;CZ0525;5203;Gymnázium, Dvůr Králové nad Labem, nám. Odboje 304;Gymnázium;Dvůr Králové nad Labem – Gymnázium náměstí Odboje;náměstí Odboje 304;náměstí Odboje;304;;Dvůr Králové nad Labem;54401;Dvůr Králové nad Labem;Dvůr Králové nad Labem;724 394 503;;info@gym-dk.cz;;http://www.gym-dk.cz;2tpja6p;Mgr. Martina Kubíková;C00;ANO;
600016749; 00601659;7;CZ0804;8105;Gymnázium a Střední průmyslová škola elektrotechniky a informatiky, Frenštát pod Radhoštěm, příspěvková organizace;Gymnázium a SPŠ elektro. a informatiky;Frenštát pod Radhoštěm – Gymnázium a SPŠ elektro. a informatiky;Křižíkova 1258;Křižíkova;1258;;Frenštát pod Radhoštěm;74401;Frenštát pod Radhoštěm;Frenštát pod Radhoštěm;595 537 501;není;milena.vaverkova@frengp.cz;frengp@frengp.cz;www.frengp.cz;;RNDr. Milena Vaverková;C00H22L11;ANO;
600016234; 00846881;7;CZ0802;8106;Gymnázium a Střední odborná škola, Frýdek-Místek, Cihelní 410, příspěvková organizace;Gymnázium a SOŠ;Frýdek-Místek – Gymnázium a SOŠ;Cihelní 410;Cihelní;410;;Frýdek;73801;Frýdek-Místek;Frýdek-Místek;558 441 351;558 627 147;skola@gsos.cz;;http://www.gsos.cz;s6bfebg;Ing. Jaroslav Konečný;C00;ANO;
600016315; 00601411;7;CZ0802;8106;Gymnázium Petra Bezruče, Frýdek-Místek, příspěvková organizace;Gymnázium Petra Bezruče;Frýdek-Místek – Gymnázium Petra Bezruče;Československé armády 517;Československé armády;517;;Místek;73801;Frýdek-Místek;Frýdek-Místek;558 433 515;558 433 515;sekretariat@gpbfm.cz;;www.gpbfm.cz;wmagmd3;RNDr. Olga Onderková;C00L13;ANO;
